timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
1760637382885557161,2.9258728,-0.7133484,-24.087906,-0.08789062,-0.4482422,1.1777344,-0.38972804,-25.110826,8.7236805,0.9731972,-0.21650037,-0.019843081,0.07497295
1760637382895164161,7.6293945,-1.5068054,-24.209976,-0.09374999,-0.47802734,1.0581055,-0.50895065,-25.036396,8.520167,0.9734489,-0.21582662,-0.020424727,0.07347736
1760637382904746161,9.092331,-4.1942596,-24.02687,-0.04980468,-0.4736328,0.9467773,-0.62176204,-24.97192,8.336613,0.9736668,-0.21524024,-0.02099815,0.072136335
1760637382914328161,7.9345703,-3.7651062,-24.332047,-0.022949219,-0.5019531,0.9643554,-0.7448237,-24.913063,8.163421,0.9738628,-0.21469545,-0.021683577,0.07090045
1760637382923910161,6.4697266,-4.2533875,-24.881363,-0.018066403,-0.52490234,1.1113281,-0.8852905,-24.861618,8.006824,0.9740286,-0.21420208,-0.022554168,0.06983607
1760637382933492161,2.1953583,-4.7397614,-25.369644,0.0063476562,-0.5263672,1.5297852,-1.0236795,-24.84937,7.847721,0.9741195,-0.21404606,-0.023426197,0.06874291
1760637382943074161,-1.7089844,-1.5068054,-24.087906,-0.05566406,-0.5986328,1.9609374,-1.1162391,-24.86012,7.699846,0.97416824,-0.21411297,-0.023942811,0.06765823
1760637382952688161,6.832123,6.855011,-20.669937,0.0146484375,-0.57910156,1.5522461,-1.1636306,-24.833847,7.565492,0.9742864,-0.21388993,-0.024080401,0.06660555
1760637382962302161,9.7026825,11.674881,-19.327164,0.034667965,-0.52490234,1.2749023,-1.1765397,-24.764357,7.368271,0.9745277,-0.21333274,-0.023785304,0.06495506
1760637382971916161,8.785248,15.277863,-16.946793,0.07421875,-0.54833984,1.1293945,-1.1391745,-24.672924,7.2180142,0.9747906,-0.21260656,-0.023140393,0.06361061
1760637382981530161,-2.8095245,9.5386505,-16.458511,0.01806641,-0.5625,1.4711914,-1.0815141,-24.615843,7.141374,0.97495073,-0.2121679,-0.022478368,0.06285369
1760637382991144161,-8.6689,11.552811,-12.796402,0.05712891,-0.7373047,1.425293,-1.0613352,-24.65929,7.0432935,0.9749271,-0.21256773,-0.022147074,0.06198028
1760637383001980161,-6.1073303,11.066437,-11.453629,0.09814453,-0.6665039,0.92724603,-0.9861088,-24.83118,6.8779035,0.97470814,-0.21410185,-0.0212853,0.06042683
1760637383012814161,-12.69722,2.8247833,-9.683609,0.12792969,-0.5722656,0.7294922,-1.0860072,-25.064034,6.83924,0.9742699,-0.21603714,-0.022176977,0.060277157
1760637383023648161,-26.737213,-5.718231,-7.730484,0.20166016,-0.64453125,0.92431635,-1.180045,-25.327055,6.841467,0.97374946,-0.21822345,-0.023109198,0.06046653
1760637383031522161,-40.039062,-16.582489,-5.2280426,0.14990234,-0.8041992,1.4599609,-1.3090222,-25.66183,6.773795,0.97311324,-0.22101428,-0.024237322,0.06013149
1760637383039396161,-40.836334,-24.333954,-3.0918121,0.234375,-0.7763672,1.4160156,-1.4993204,-26.01418,6.753087,0.97239405,-0.22391082,-0.025980901,0.06032125
1760637383047270161,-43.58101,-26.777267,-0.95558167,0.2602539,-0.7324219,1.3266602,-1.7347833,-26.380264,6.7878222,0.9715947,-0.22688432,-0.028219998,0.06108011
1760637383055144161,-44.742584,-23.723602,0.875473,0.31396484,-0.75097656,1.2392578,-1.9739544,-26.763597,6.8059716,0.97075295,-0.23000172,-0.03046372,0.06171773
